Current p53 cistrome Gene Symbol,Gene(s),Peak w/DEGs,Peak w/o DEGs,up,down,Gene,Gene ID,Current p53 cistrome Gene Symbol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCN2A,SCN2A|6326,2,2,2,,SCN2A,6326,SCN2A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERS6,CERS6|253782,2,12,2,,CERS6,253782,CERS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAD1,GAD1|2571,1,1,1,,GAD1,2571,GAD1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCAF17,DCAF17|80067,1,8,,1,DCAF17,80067,DCAF17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITGA6,ITGA6|3655,1,3,1,,ITGA6,3655,ITGA6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM171B,FAM171B|165215,1,0,1,,FAM171B,165215,FAM171B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIRC1,DIRC1|116093,1,1,1,,DIRC1,116093,DIRC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLC40A1,SLC40A1|30061,2,6,2,,SLC40A1,30061,SLC40A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INPP1,INPP1|3628,4,1,4,,INPP1,3628,INPP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVIN2,SDPR|8436,2,3,2,,SDPR,8436,CAVIN2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGAP1,PGAP1|80055,1,2,1,,PGAP1,80055,PGAP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPATS2L,SPATS2L|26010,1,3,1,,SPATS2L,26010,SPATS2L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFLAR,CFLAR|8837,2,7,2,,CFLAR,8837,CFLAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FZD5,FZD5|7855,1,0,,1,FZD5,7855,FZD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCA12,ABCA12|26154,7,1,7,,ABCA12,26154,ABCA12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGFBP5,IGFBP5|3488,2,1,1,1,IGFBP5,3488,IGFBP5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNS1,TNS1|7145,1,0,,1,TNS1,7145,TNS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMBIM1,TMBIM1|64114,2,2,2,,TMBIM1,64114,TMBIM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPHA4,EPHA4|2043,1,0,1,,EPHA4,2043,EPHA4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KCNE4,KCNE4|23704,1,0,,1,KCNE4,23704,KCNE4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP110,SP110|3431,1,1,1,,SP110,3431,SP110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIGD1,MIR5001|100847037;TIGD1|200765;EIF4E2|9470,1,2,,1,TIGD1,200765,TIGD1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARL4C,ARL4C|10123,1,0,1,,ARL4C,10123,ARL4C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP1,AGAP1|116987,1,9,,1,AGAP1,116987,AGAP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBX2,GBX2|2637,1,0,1,,GBX2,2637,GBX2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOC151174,LOC151174|151174,1,6,1,,LOC151174,151174,LOC151174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPC1,GPC1|2817,2,10,2,,GPC1,2817,GPC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PASK,PASK|23178,1,0,,1,PASK,23178,PASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHLHE40,BHLHE40|8553,1,2,1,,BHLHE40,8553,BHLHE40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LMCD1,LMCD1|29995,1,1,1,,LMCD1,29995,LMCD1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATP2B2,ATP2B2|491,1,1,1,,ATP2B2,491,ATP2B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSEN2,TSEN2|80746,1,0,,1,TSEN2,80746,TSEN2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMEM40,TMEM40|55287,1,0,1,,TMEM40,55287,TMEM40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSM3,LSM3|27258;XPC|7508,1,5,,1,LSM3,27258,LSM3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XPC,LSM3|27258;XPC|7508,9,5,9,,XPC,7508,XPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RARB,RARB|5915,1,7,,1,RARB,5915,RARB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBMS3-AS3,RBMS3|27303;RBMS3-AS3|100873979,1,3,1,,RBMS3-AS3,100873979,RBMS3-AS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLXNB1,PLXNB1|5364,5,9,5,,PLXNB1,5364,PLXNB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCDC51,CCDC51|79714,1,1,1,,CCDC51,79714,CCDC51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COL7A1,COL7A1|1294,2,3,2,,COL7A1,1294,COL7A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IP6K2,IP6K2|51447,2,6,2,,IP6K2,51447,IP6K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPX1,GPX1|2876,2,9,2,,GPX1,2876,GPX1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEMA3F,SEMA3F|6405,1,4,1,,SEMA3F,6405,SEMA3F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEMA3B,SEMA3B-AS1|101928931;MIR6872|102465526;SEMA3B|7869,2,3,2,,SEMA3B,7869,SEMA3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYAL3,HYAL3|8372;NAT6|24142,1,1,1,,HYAL3,8372,HYAL3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAT6,HYAL3|8372;NAT6|24142,1,1,1,,NAT6,24142,NAT6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRKCD,PRKCD|5580,1,2,1,,PRKCD,5580,PRKCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARHGEF3,ARHGEF3|50650,7,8,7,,ARHGEF3,50650,ARHGEF3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLNB,FLNB|2317,2,2,,2,FLNB,2317,FLNB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRICKLE2,PRICKLE2|166336,1,0,1,,PRICKLE2,166336,PRICKLE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCNP,PCNP|57092,1,10,1,,PCNP,57092,PCNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLCXD2,PLCXD2|257068,2,2,2,,PLCXD2,257068,PLCXD2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHLDB2,PHLDB2|90102,1,1,,1,PHLDB2,90102,PHLDB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB20,ZBTB20|26137,2,1,,2,ZBTB20,26137,ZBTB20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLGB1,GOLGB1|2804,1,10,1,,GOLGB1,2804,GOLGB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD86,CD86|942,1,4,,1,CD86,942,CD86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSTA,CSTA|1475,2,2,2,,CSTA,1475,CSTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KPNA1,KPNA1|3836,1,13,1,,KPNA1,3836,KPNA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOC100129550,LOC100129550|100129550,1,12,1,,LOC100129550,100129550,LOC100129550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIAA1257,KIAA1257|57501,2,1,2,,KIAA1257,57501,KIAA1257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNAJC13,DNAJC13|23317,1,1,,1,DNAJC13,23317,DNAJC13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPP2R3A,PPP2R3A|5523,1,6,,1,PPP2R3A,5523,PPP2R3A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLC35G2,SLC35G2|80723,1,1,1,,SLC35G2,80723,SLC35G2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOXL2NB,FOXL2NB|401089;LINC01391|103344930,2,1,2,,FOXL2NB,401089,FOXL2NB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINC01391,FOXL2NB|401089;LINC01391|103344930,2,1,2,,LINC01391,103344930,LINC01391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLS1,PLS1|5357,1,1,1,,PLS1,5357,PLS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR87,GPR87|53836,9,0,9,,GPR87,53836,GPR87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBNL1-AS1,MBNL1|4154;MBNL1-AS1|401093,2,1,2,,MBNL1-AS1,401093,MBNL1-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAP2B,RAP2B|5912,4,11,4,,RAP2B,5912,RAP2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLC33A1,SLC33A1|9197,1,6,1,,SLC33A1,9197,SLC33A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PQLC2L,PQLC2L|152078,1,1,,1,PQLC2L,152078,PQLC2L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHIP1,SCHIP1|29970,1,9,1,,SCHIP1,29970,SCHIP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL12A,IL12A|3592,1,0,1,,IL12A,3592,IL12A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MECOM,MECOM|2122,1,9,,1,MECOM,2122,MECOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLD1,PLD1|5337,1,3,,1,PLD1,5337,PLD1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCEH1,NCEH1|57552,3,7,3,,NCEH1,57552,NCEH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZMAT3,ZMAT3|64393,12,4,12,,ZMAT3,64393,ZMAT3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLCN2,CLCN2|1181,2,2,2,,CLCN2,1181,CLCN2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGF2BP2,IGF2BP2|10644,2,10,,2,IGF2BP2,10644,IGF2BP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPP,LPP|4026,1,3,,1,LPP,4026,LPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3H2,LEPREL1|55214,1,3,1,,LEPREL1,55214,P3H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLDN1,CLDN1|9076,5,5,5,,CLDN1,9076,CLDN1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLG1,DLG1|1739,1,0,,1,DLG1,1739,DLG1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDH1,BDH1|622,2,4,,2,BDH1,622,BDH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGFAC,HGFAC|3083,1,11,1,,HGFAC,3083,HGFAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRPAP1,LRPAP1|4043,2,4,2,,LRPAP1,4043,LRPAP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STK32B,STK32B|55351,1,2,,1,STK32B,55351,STK32B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SORCS2,SORCS2|57537,1,6,1,,SORCS2,57537,SORCS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPEB2,CPEB2-AS1|441009;CPEB2|132864,3,10,2,1,CPEB2,132864,CPEB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LDB2,LDB2|9079,2,3,,2,LDB2,9079,LDB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDH7,PCDH7|5099,1,0,1,,PCDH7,5099,PCDH7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLF3,KLF3|51274,1,4,,1,KLF3,51274,KLF3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TLR6,TLR6|10333,1,0,,1,TLR6,10333,TLR6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHOH,RHOH|399,1,1,,1,RHOH,399,RHOH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APBB2,APBB2|323,3,8,,3,APBB2,323,APBB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPATA18,SPATA18|132671,7,3,7,,SPATA18,132671,SPATA18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGFBP7,IGFBP7|3490,1,5,,1,IGFBP7,3490,IGFBP7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPHA5,EPHA5|2044,1,3,1,,EPHA5,2044,EPHA5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMTN,AMTN|401138,1,3,1,,AMTN,401138,AMTN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HERC5,HERC5|51191,4,10,4,,HERC5,51191,HERC5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSPAN5,TSPAN5|10098,1,1,,1,TSPAN5,10098,TSPAN5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOC100507053,LOC100507053|100507053,1,0,1,,LOC100507053,100507053,LOC100507053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CISD2,UBE2D3|7323;CISD2|493856,1,1,,1,CISD2,493856,CISD2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARSJ,ARSJ|79642,1,0,,1,ARSJ,79642,ARSJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAD2L1,MAD2L1|4085,1,2,,1,MAD2L1,4085,MAD2L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBS7,BBS7|55212,1,0,1,,BBS7,55212,BBS7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FGF2,FGF2|2247,1,0,1,,FGF2,2247,FGF2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPRY1,SPRY1|10252,2,1,2,,SPRY1,10252,SPRY1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSPA4L,HSPA4L|22824,2,5,2,,HSPA4L,22824,HSPA4L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLC7A11,SLC7A11|23657,1,1,,1,SLC7A11,23657,SLC7A11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAB33B,RAB33B|83452,1,2,1,,RAB33B,83452,RAB33B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MGST2,MGST2|4258,3,0,3,,MGST2,4258,MGST2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLC10A7,SLC10A7|84068,1,0,,1,SLC10A7,84068,SLC10A7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBXW7,FBXW7|55294,8,5,8,,FBXW7,55294,FBXW7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRIM2,TRIM2|23321,1,4,1,,TRIM2,23321,TRIM2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PALLD,PALLD|23022,1,1,1,,PALLD,23022,PALLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MFAP3L,MFAP3L|9848,1,4,1,,MFAP3L,9848,MFAP3L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STOX2,STOX2|56977,1,4,1,,STOX2,56977,STOX2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TLR3,TLR3|7098,1,5,1,,TLR3,7098,TLR3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRIML2,TRIML2|205860,3,2,3,,TRIML2,205860,TRIML2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMBL,CMBL|134147,7,1,7,,CMBL,134147,CMBL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRIO,TRIO|7204,1,1,,1,TRIO,7204,TRIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOC285696,LOC285696|285696,1,1,1,,LOC285696,285696,LOC285696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDH10,CDH10|1008,3,0,3,,CDH10,1008,CDH10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURPL,LINC01021|643401,4,10,4,,LINC01021,643401,PURPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPR3,NPR3|4883,1,1,,1,NPR3,4883,NPR3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDNF,GDNF|2668,2,0,2,,GDNF,2668,GDNF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAB2,DAB2|1601,2,0,,2,DAB2,1601,DAB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITGA2,ITGA2|3673,1,9,1,,ITGA2,3673,ITGA2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAP3K1,MAP3K1|4214,1,5,1,,MAP3K1,4214,MAP3K1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLK2,PLK2|10769,10,6,10,,PLK2,10769,PLK2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDE4D,PDE4D|5144,1,7,,1,PDE4D,5144,PDE4D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAST4,MAST4|375449,3,3,3,,MAST4,375449,MAST4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOC102477328,LOC102477328|102477328,1,1,1,,LOC102477328,102477328,LOC102477328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCHO2,FCHO2|115548,1,10,1,,FCHO2,115548,FCHO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENC1,ENC1|8507,1,0,1,,ENC1,8507,ENC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM169A,FAM169A|26049,1,5,1,,FAM169A,26049,FAM169A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2R,NCRUPAR|100302746;F2R|2149,3,6,1,2,F2R,2149,F2R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCAN,VCAN|1462,1,3,,1,VCAN,1462,VCAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLR3G,POLR3G|10622,1,0,,1,POLR3G,10622,POLR3G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EFNA5,EFNA5|1946,1,8,,1,EFNA5,1946,EFNA5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCC,MCC|4163,4,5,4,,MCC,4163,MCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNFAIP8,TNFAIP8|25816,2,11,2,,TNFAIP8,25816,TNFAIP8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSD17B4,HSD17B4|3295,1,1,1,,HSD17B4,3295,HSD17B4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNX2,SNX2|6643,1,3,1,,SNX2,6643,SNX2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LMNB1,LMNB1|4001,1,2,,1,LMNB1,4001,LMNB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REEP2,REEP2|51308,1,1,1,,REEP2,51308,REEP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
